state,anchor_id,existing_ccss_id,verdict,confidence,recommended_ccss_id,rationale
ND,5.AR.OA.5,5.OA.B.3,confirmed,99.0,5.OA.B.3,"The lesson overlap is perfect (1.0, with all 5 lessons shared), and the state standard text directly mirrors 5.OA.B.3's content about generating two numerical patterns, forming ordered pairs, and graphing on a coordinate plane. The embedding similarity score of 0.855 further confirms the strong textual alignment."
WV,4.17,4.NF.C.6,,,,"Unparseable response: Looking at this evidence:

1. The text of the state standard (WV 4.17) is essentially identical to 4.NF.C.6 - same examples, same wording about decimal notation for fractions with denominators 10 or 1"
KS,2.MD.2,2.MD.A.2,confirmed,99.0,2.MD.A.2,"The text of the state standard is identical to 2.MD.A.2, and the lesson overlap is perfect (1.0), with 100% of lessons shared. This is the strongest possible evidence for a correct alignment."
AL,3.OA.3,3.OA.A.3,confirmed,99.0,3.OA.A.3,"The lesson overlap is perfect (1.0, all 13 lessons shared), and the state standard text is nearly identical to 3.OA.A.3, covering the same content (multiplication and division within 100, equal groups, arrays, measurement quantities, drawings and equations with unknown symbol). No other candidate comes close in either lesson overlap or textual similarity."
ME,8.5.NBT.A.4,5.NBT.A.4,confirmed,97.0,5.NBT.A.4,"The tag being evaluated is 5.NBT.A.4, which has identical text to the state standard and ranks #1 in the top-5 candidates. The top-5 context shows that when the state standard has 2 lessons, 5.NBT.A.4 achieves 100% lesson overlap (2 of 2 shared), providing strong evidence of correct alignment. The zero overlap in the tag being evaluated is due to the state having 0 lessons in that particular row, not a mismatch."
NC,6.EE.1,6.EE.A.1,,,,"Unparseable response: Looking at this case:

The tag being evaluated (6.EE.A.1) shows 0.0 lesson overlap for the specific state standard being evaluated (which has 0 lessons). However, looking at the top-5 candidates, the "
OH,4.OA.4,4.OA.B.4,confirmed,99.0,4.OA.B.4,"The lesson overlap is perfect (1.0, all 5 lessons shared), the standard text is virtually identical word-for-word, and 4.OA.B.4 ranks first among candidates with the highest embedding similarity (0.874). All evidence strongly supports this tag."
ME,8.4.NBT.A.2,4.NBT.A.2,confirmed,90.0,4.NBT.A.2,"The text of the state standard is virtually identical to 4.NBT.A.2, with an embedding similarity of 0.92, and the top-5 candidates show 100% lesson overlap (6/6 shared lessons) for this pairing. The zero lesson overlap shown in the tag-specific row appears to be a data artifact (state listed as having 0 lessons there vs. 6 in the candidate row), but the candidate context data strongly confirms the match."
MO,5.RA.A.1.a,5.OA.B.3,confirmed,97.0,5.OA.B.3,"The lesson overlap is perfect (1.0, all 5 lessons shared), and the state standard text 'Generate two numeric patterns given two rules' is a direct subset of 5.OA.B.3's content, which begins with exactly that task. No other candidate comes close on lesson overlap."
IN,1.DA.1,1.MD.C.4,confirmed,92.0,1.MD.C.4,"The lesson overlap is perfect (1.0, with all 6 lessons shared), which is the strongest signal and strongly confirms this tag. While 1.MD.C.4 does not appear in the top-5 similarity candidates (likely due to surface-level text differences), the complete lesson overlap between the Indiana standard and 1.MD.C.4 clearly indicates these standards address the same curriculum content — organizing and interpreting data at the grade 1 level."
PA,2.2.1.A.1,1.OA.C,likely_incorrect,78.0,1.OA.A.1,"The tag being evaluated (1.OA.C) has 0% lesson overlap and doesn't appear in the top-5 candidates. By contrast, 1.OA.A.1 shows a dominant 92.59% lesson overlap with the state standard, strongly indicating it is the primary match. The state standard's language about 'represent and solve problems' aligns better with 1.OA.A.1's word problem focus than the cluster-level 1.OA.C tag."
ME,3.7.NS.A.1a,7.NS.A.1.a,confirmed,95.0,,"The tag 7.NS.A.1.a is an exact text match to the state standard, and the top-5 candidates show 100% lesson overlap (2 shared out of 2) for this CCSS standard. The 0.0 lesson overlap in the tag evaluation row appears to reflect a data inconsistency (likely state having 0 lessons listed there vs. 2 in the candidate row), but the candidate row clearly shows perfect lesson overlap and highest embedding similarity (0.759)."
AL,7.DSP.14.b,7.SP.C.7,likely_correct,62.0,7.SP.C.7.b,"The text of 7.SP.C.7 is nearly identical to the state standard and ranks #1 in semantic similarity (0.753), but it has 0% lesson overlap. Meanwhile, 7.SP.C.7.b has 50% lesson overlap (the strongest curriculum signal), and its text specifically addresses developing a model by observing frequencies and comparing to expected outcomes — closely related content. The lesson overlap evidence favors 7.SP.C.7.b as the better match, though the text match for 7.SP.C.7 is compelling."
IN,6.GM.3,6.G.A.1,confirmed,99.0,6.G.A.1,"The lesson overlap is perfect (1.0, with all 8 lessons shared), and the text of both standards describes the same core concept — finding area of polygons by composing/decomposing into simpler shapes and applying to real-world problems. No other candidate comes close in lesson overlap."
ME,6.4.MD.B.4,4.MD.B.4,,,,"Unparseable response: Looking at the evidence:

1. **Lesson overlap**: The tag being evaluated (4.MD.B.4) shows 0.0 lesson overlap in the ""TAG BEING EVALUATED"" section (state has 0 lessons, CCSS has 2, 0 shared). However, "
KY,7.EE.3,7.EE.B.3,confirmed,97.0,7.EE.B.3,"The state standard text is nearly identical to 7.EE.B.3, and the lesson overlap is 1.0 (all 7 lessons shared), making this an exceptionally strong match. The embedding similarity of 0.745 also ranks first among candidates."
KY,5.NF.7.b,5.NF.B.7.b,,,,"Unparseable response: The state standard text is nearly identical to 5.NF.B.7.b, and the top-5 candidates show that 5.NF.B.7.b has 100% lesson overlap (5 shared lessons out of 5). The lesson_overlap_pct shown for the tag b"
AK,4.NF.4.b,4.NF.B.4.b,confirmed,99.0,4.NF.B.4.b,"The lesson overlap is perfect (1.0) with all 3 state lessons matching all 3 CCSS lessons, and the state standard text is essentially identical to 4.NF.B.4.b. No other candidate shows any lesson overlap."
OH,5.NBT.6,5.NBT.B.6,confirmed,99.0,5.NBT.B.6,"The state standard text is virtually identical to 5.NBT.B.6, and the lesson overlap is perfect (1.0) with all 5 lessons shared, making this an unambiguous match. No other candidate comes close in either text similarity or lesson overlap."
WV,2.6,2.NBT.A.2,likely_incorrect,88.0,2.NBT.A.1,"The state standard text is nearly identical to 2.NBT.A.1 (highest embedding similarity at 0.874), while the tag being evaluated (2.NBT.A.2) is about skip-counting, has 0% lesson overlap, and doesn't appear in the top-5 candidates. The correct alignment is clearly 2.NBT.A.1, which already exists as another tag for this standard."
NC,5.NF.1,5.NF.A.2,,,,"Unparseable response: Looking at the evidence:

The tag being evaluated (5.NF.A.2) shows:
- lesson_overlap_pct: 0.0 in the tag evaluation row (state has 0 lessons, CCSS has 6, 0 shared)
- BUT in the top-5 candidates, 5.NF."
WI,7.SP.C.6,7.SP.C.6,confirmed,97.0,7.SP.C.6,"The state standard text is nearly identical to CCSS 7.SP.C.6, and the lesson overlap is 100% (4 of 4 lessons shared), providing overwhelming evidence that this tag is correct. The tag also ranks #1 in embedding similarity."
WI,3.NF.A.2.a,3.NF.A.2.a,confirmed,90.0,3.NF.A.2.a,"The state standard's text closely matches 3.NF.A.2.a in both content (defining the whole as 0 to 1 and partitioning into equal parts for unit fractions) and lesson overlap is perfect (3/3 shared lessons, 1.0 overlap), making this a strong confirmed match."
SC,3.MGSR.1.1,3.MD.C.5,likely_correct,72.0,3.MD.C.5,"The lesson overlap of 0.75 (6 of 8 lessons shared) is strong evidence that 3.MD.C.5 aligns well with this state standard, even though it doesn't appear in the top-5 similarity candidates. The state standard describes covering space with square units and counting them, which maps to both the conceptual understanding of area (3.MD.C.5) and the counting-units approach (3.MD.C.6); both tags together form a reasonable pairing, and 3.MD.C.5's high lesson overlap supports retaining it alongside the existing 3.MD.C.6 tag."
SC,4.PAFR.1.4,4.NBT.B.6,confirmed,99.0,4.NBT.B.6,"The lesson overlap is perfect (1.0, with all 15 lessons shared), and the textual content of both standards is nearly identical — both describe dividing up to four-digit dividends by one-digit divisors with remainders and requiring justification/explanation of the strategy. No other candidate comes close in lesson overlap."
AL,1.M.17,1.MD.A.1,confirmed,99.0,1.MD.A.1,"The state standard text is identical to 1.MD.A.1, and the lesson overlap is perfect (1.0) with all 5 lessons shared, leaving no ambiguity about the correct alignment."
AZ,6.NS.C.8,6.NS.C.8,confirmed,99.0,6.NS.C.8,"The tag has a perfect lesson overlap of 1.0 (all 5 lessons shared) and the highest embedding similarity score (0.87) among candidates. The state standard text is nearly identical to the CCSS 6.NS.C.8 text, making this an unambiguous match."
KS,8.F.2,8.F.A.2,confirmed,99.0,8.F.A.2,"The lesson overlap is perfect (1.0, with all 2 state lessons matching all 2 CCSS lessons), and the state standard text is nearly identical to 8.F.A.2, which specifically references linear functions matching the KS standard's explicit focus on linear functions."
WI,5.NF.B.7.b,5.NF.B.7.b,confirmed,95.0,5.NF.B.7.b,"The tag being evaluated is 5.NF.B.7.b, which ranks #1 in the top-5 candidates with a 100% lesson overlap (5 of 5 shared lessons) when the state standard has lessons assigned, and the text content directly matches — both address interpreting division of a whole number by a unit fraction. The 0.0 lesson overlap shown for the tag being evaluated appears to be a data artifact (state has 0 lessons listed there), while the candidate entry for the same CCSS ID shows 5 shared lessons, confirming strong alignment."
MS,3.OA.3,3.OA.A.3,confirmed,99.0,3.OA.A.3,"The state standard text is virtually identical to CCSS 3.OA.A.3, and the lesson overlap is perfect at 1.0 (all 13 lessons shared), providing overwhelming evidence that this tag is correct."
AR,6.SP.1,6.SP.A.1,confirmed,99.0,6.SP.A.1,"The lesson overlap is perfect (1.0), with all 3 lessons shared between the state standard and 6.SP.A.1, and the state standard text directly mirrors the CCSS content about distinguishing statistical from non-statistical questions based on variability. This is the rank-1 candidate with the highest embedding similarity as well."
CO,7.RP.A.2.c,7.RP.A.2.c,confirmed,99.0,7.RP.A.2.c,"The lesson overlap is perfect (1.0, with all 10 state lessons matching all 10 CCSS lessons), and the state standard text is essentially identical to the CCSS 7.RP.A.2.c text. This is an unambiguous match."
MA,8.F.B.4,8.F.B.4,confirmed,99.0,8.F.B.4,"The tag shows perfect lesson overlap (1.0) with all 3 lessons shared between the state standard and CCSS 8.F.B.4, and the text of the state standard is virtually identical to the CCSS standard text, reflected in the highest embedding similarity score (0.82) among all candidates. All evidence strongly supports this tag."
CO,2.NBT.B.9,2.NBT.B.9,confirmed,99.0,2.NBT.B.9,"The tag shows perfect lesson overlap (1.0) with all 10 lessons shared between the state standard and 2.NBT.B.9, and the embedding similarity is very high (0.867). The state standard text is essentially identical to the CCSS standard text, and no other candidate comes close in lesson overlap."
LA,8.NS.A.1,8.NS.A.1,confirmed,99.0,8.NS.A.1,"The lesson overlap is perfect (1.0, with all 3 lessons shared), and the state standard text is nearly identical to the CCSS 8.NS.A.1 text, with the only difference being the state standard adds 'by analyzing repeating patterns' as a clarification. This is clearly the correct alignment."
SC,5.PAFR.3.4,5.OA.A.2,likely_correct,72.0,5.OA.A.2,"The lesson overlap for 5.OA.A.2 is very high (0.7273, 8 of 9 lessons shared), strongly suggesting curriculum alignment despite not appearing in the top-5 similarity candidates. The state standard's focus on translating real-world situations into numerical expressions with parentheses maps well to 5.OA.A.2's emphasis on writing expressions that record calculations, and the existing tag 5.OA.A.1 (which covers evaluating expressions with grouping symbols) already handles the evaluation aspect, making this a reasonable complementary pairing."
AK,3.NF.3.d,3.NF.A.3.d,confirmed,99.0,3.NF.A.3.d,"The lesson overlap is perfect (1.0, all 7 lessons shared), the state standard text is virtually identical to 3.NF.A.3.d, and it ranks first among all candidates with the highest embedding similarity score. All evidence unanimously supports this tag."
AK,4.NF.4.a,4.NF.B.4.a,confirmed,99.0,4.NF.B.4.a,"The lesson overlap is perfect (1.0) with 100% of lessons shared between the state standard and 4.NF.B.4.a, and the state standard text 'Understand a fraction as a multiple of' directly matches the CCSS 4.NF.B.4.a text 'Understand a fraction a/b as a multiple of 1/b.' No other candidate has any lesson overlap."
NC,8.G.4,8.G.A.4,,,,"Unparseable response: Looking at this evidence:

The tag being evaluated (8.G.A.4) shows 0.0 lesson overlap with the state standard having 0 lessons. However, the top-5 candidates table shows a different picture for the sa"
ND,4.GM.M.5,4.MD.A.3,confirmed,99.0,4.MD.A.3,"The lesson overlap is perfect (1.0) with all 5 lessons shared between the state standard and 4.MD.A.3, and the text of both standards is nearly identical in content (area and perimeter formulas for rectangles in real-world problems). No other candidate comes close in lesson overlap."
AK,8.G.1,8.G.A.1,likely_correct,62.0,8.G.A.1,"The text of AK 8.G.1 is nearly identical to CCSS 8.G.A.1, with both describing experimental verification of rotation, reflection, and translation properties, giving strong semantic alignment (0.769 embedding score, rank 1). However, the lesson overlap is 0.0 (CCSS 8.G.A.1 has no lessons mapped in the EM2 data), which prevents confirmation — though this appears to be a data gap in the CCSS side rather than evidence of a mismatch."
WV,8.17,8.G.A.2,likely_incorrect,95.0,8.F.B.4,"The tag being evaluated (8.G.A.2, about congruent figures and transformations) has zero lesson overlap and is completely unrelated to the state standard's content about linear functions, rate of change, and initial value. The top candidate 8.F.B.4 has identical text to the state standard, a 1.0 lesson overlap (all 3 lessons shared), and an embedding similarity of 0.94, making it the clear correct match."
AK,2.MD.8,2.MD.C.8,confirmed,99.0,2.MD.C.8,"The lesson overlap is perfect (1.0) with all 7 lessons shared between the state standard and 2.MD.C.8, and the embedding similarity is high (0.84). The state standard text is essentially identical to the CCSS standard, differing only in minor wording."
MA,3.MD.C.5,3.MD.C.5,confirmed,99.0,3.MD.C.5,"The tag shows perfect lesson overlap (1.0, all 6 lessons shared) and the highest embedding similarity (0.821) among all candidates, with identical standard text between the state standard and CCSS 3.MD.C.5. This is unambiguously the correct alignment."
SC,6.PAFR.2.2,6.EE.A.1,confirmed,99.0,6.EE.A.1,"The tag has perfect lesson overlap (1.0, with all 5 lessons shared), the highest embedding similarity among candidates (0.731), and the state standard text is nearly identical in meaning to 6.EE.A.1. All evidence strongly supports this tag."
NJ,7.NS.A.1c,7.NS.A.1.c,confirmed,99.0,7.NS.A.1.c,"The tag has a perfect lesson overlap of 1.0 (all 5 state lessons match all 5 CCSS lessons), ranks #1 among candidates, and the standard text is virtually identical word-for-word, with an embedding similarity of 0.857578. All evidence strongly confirms this tag."
NY,5.NF.3,5.NF.B.3,confirmed,90.0,5.NF.B.3,"The state standard text is nearly identical to 5.NF.B.3, and the top-5 candidates show 5.NF.B.3 as rank 1 with 100% lesson overlap (4 of 4 lessons shared). The zero overlap shown for the tag being evaluated appears to be a data artifact (state has 0 lessons listed), but the candidate-level data confirms perfect lesson alignment."
WV,7.2.b,7.RP.A.2.b,confirmed,97.0,7.RP.A.2.b,"The state standard text is nearly verbatim identical to 7.RP.A.2.b (embedding similarity 0.957), and the top-5 candidates show 7.RP.A.2.b with 100% lesson overlap (10/10 shared lessons) when the correct state standard data is used. The zero overlap in the tag being evaluated appears to be a data artifact (state has 0 lessons listed), while the candidate row shows the full 10/10 overlap."
